vehicle_type,manufacturer,year,model,battery_code,replacement_type,technology,description,image_link
Passenger & SUV,Chery,2012,J1,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2012,J5,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2012,QQ3,630,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 36 | Reserve Capacity Minutes: 50 | SANS CCA Amps: 200 | EN CCA Amps: 170 | DIN CCA Amps: 280.25 | SAE CCA Amps: 295 | IEC CCA Amps: 280 | Max length mm: 241 | Overall width mm: 132 | Overall height mm: 203,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/630.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2012,Tiggo,622,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/622.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2013,J1,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2013,J5,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2013,QQ3,630,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 36 | Reserve Capacity Minutes: 50 | SANS CCA Amps: 200 | EN CCA Amps: 170 | DIN CCA Amps: 280.25 | SAE CCA Amps: 295 | IEC CCA Amps: 280 | Max length mm: 241 | Overall width mm: 132 | Overall height mm: 203,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/630.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2013,Tiggo,622,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/622.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2014,J1,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2014,J2,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2014,J5,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2014,QQ3,630,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 36 | Reserve Capacity Minutes: 50 | SANS CCA Amps: 200 | EN CCA Amps: 170 | DIN CCA Amps: 280.25 | SAE CCA Amps: 295 | IEC CCA Amps: 280 | Max length mm: 241 | Overall width mm: 132 | Overall height mm: 203,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/630.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2014,Tiggo,622,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/622.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2015,J1,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2015,J2,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2015,J5,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2015,QQ3,630,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 36 | Reserve Capacity Minutes: 50 | SANS CCA Amps: 200 | EN CCA Amps: 170 | DIN CCA Amps: 280.25 | SAE CCA Amps: 295 | IEC CCA Amps: 280 | Max length mm: 241 | Overall width mm: 132 | Overall height mm: 203,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/630.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2015,Tiggo,622,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/622.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2016,J1,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2016,J2,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2016,J5,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2016,QQ3,630,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 36 | Reserve Capacity Minutes: 50 | SANS CCA Amps: 200 | EN CCA Amps: 170 | DIN CCA Amps: 280.25 | SAE CCA Amps: 295 | IEC CCA Amps: 280 | Max length mm: 241 | Overall width mm: 132 | Overall height mm: 203,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/630.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2016,Tiggo,622,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/622.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2017,J1,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2017,J2,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2017,J5,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2017,QQ3,630,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 36 | Reserve Capacity Minutes: 50 | SANS CCA Amps: 200 | EN CCA Amps: 170 | DIN CCA Amps: 280.25 | SAE CCA Amps: 295 | IEC CCA Amps: 280 | Max length mm: 241 | Overall width mm: 132 | Overall height mm: 203,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/630.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2017,Tiggo,622,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/622.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2018,J1,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2018,J2,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2018,J5,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2018,QQ3,630,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 36 | Reserve Capacity Minutes: 50 | SANS CCA Amps: 200 | EN CCA Amps: 170 | DIN CCA Amps: 280.25 | SAE CCA Amps: 295 | IEC CCA Amps: 280 | Max length mm: 241 | Overall width mm: 132 | Overall height mm: 203,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/630.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2018,Tiggo,622,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/622.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2019,J1,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2019,J2,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2019,J5,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2019,QQ3,630,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 36 | Reserve Capacity Minutes: 50 | SANS CCA Amps: 200 | EN CCA Amps: 170 | DIN CCA Amps: 280.25 | SAE CCA Amps: 295 | IEC CCA Amps: 280 | Max length mm: 241 | Overall width mm: 132 | Overall height mm: 203,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/630.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2019,Tiggo,622,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/622.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2020,J1,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2020,J2,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2020,J5,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2020,QQ3,630,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 36 | Reserve Capacity Minutes: 50 | SANS CCA Amps: 200 | EN CCA Amps: 170 | DIN CCA Amps: 280.25 | SAE CCA Amps: 295 | IEC CCA Amps: 280 | Max length mm: 241 | Overall width mm: 132 | Overall height mm: 203,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/630.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2020,Tiggo,622,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/622.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2021,J1,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2021,J2,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2021,J5,646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2021,QQ3,630,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 36 | Reserve Capacity Minutes: 50 | SANS CCA Amps: 200 | EN CCA Amps: 170 | DIN CCA Amps: 280.25 | SAE CCA Amps: 295 | IEC CCA Amps: 280 | Max length mm: 241 | Overall width mm: 132 | Overall height mm: 203,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/630.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2021,Tiggo,622,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 55 | Reserve Capacity Minutes: 85 | SANS CCA Amps: 290 | EN CCA Amps: 250 | DIN CCA Amps: 394.25 | SAE CCA Amps: 415 | IEC CCA Amps: 410 | Max length mm: 255 | Overall width mm: 175 | Overall height mm: 213,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/622.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2021,Tiggo 4 Pro 1.5 Comfort (CVT 9SPD),646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2021,Tiggo 4 Pro 1.5 Elite (6MT),646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
Passenger & SUV,Chery,2021,Tiggo 4 Pro 1.5 Elite (CVT 9 SPD),646,Primary,EFB,Cover: SMF | 20 Hr Capacity Ah: 60 | Reserve Capacity Minutes: 90 | SANS CCA Amps: 325 | EN CCA Amps: 250 | DIN CCA Amps: 427.5 | SAE CCA Amps: 450 | IEC CCA Amps: 395 | Max length mm: 244 | Overall width mm: 175 | Overall height mm: 190,https://images.ecatonline.co.za/EcatApi/Image?DisplayLarge=true&ImagePath=(PATHUPLOAD)\__upload\AutoX\Catalogue\Willard/646.png&MaxImageWidth=400&MaxImageHeigth=400
